,country,year,rural,city
0,WORLD,1990,26.6,34.8
1,Burundi,1990,41.5,5.8
2,Madagascar,1990,73.4,7.1
3,Malawi,1990,66.3,4.6
4,Mozambique,1990,53.6,18.0
5,Uganda,1990,63.0,6.6
6,Zimbabwe,1990,63.2,20.1
7,Central African Rep.,1990,51.7,19.6
8,Chad,1990,51.6,27.1
9,Algeria,1990,33.0,27.6
10,Egypt,1990,5.8,50.0
11,Morocco,1990,30.5,42.2
12,Tunisia,1990,40.3,27.7
13,Botswana,1990,36.2,0.0
14,South Africa,1990,30.9,26.4
15,Niger,1990,55.8,18.0
16,Sierra Leone,1990,54.4,23.9
17,Kazakhstan,1990,34.3,30.5
18,Japan,1990,9.8,66.0
19,Pakistan,1990,29.1,36.3
20,Sri Lanka,1990,23.0,24.5
21,Philippines,1990,25.5,36.1
22,Thailand,1990,52.6,15.3
23,Ukraine,1990,25.2,46.3
24,Finland,1990,45.6,19.2
25,Sweden,1990,37.2,23.1
26,Bosnia and Herz.,1990,50.1,20.7
27,Austria,1990,48.0,29.3
28,Germany,1990,28.5,32.5
29,Netherlands,1990,18.1,39.9
30,Switzerland,1990,31.3,26.4
31,Cuba,1990,16.7,46.2
32,Honduras,1990,53.6,25.2
33,Mexico,1990,26.3,51.6
34,Nicaragua,1990,36.1,30.6
35,Bolivia,1990,42.9,36.8
36,Brazil,1990,25.5,44.2
37,Canada,1990,28.7,37.6
38,Australia,1990,22.5,38.4
39,United States of America,1990,32.3,22.7
40,Colombia,1990,28.3,49.6
41,WORLD,1991,26.3,35.2
42,Burundi,1991,41.1,6.3
43,Madagascar,1991,72.9,7.2
44,Malawi,1991,65.8,4.9
45,Mozambique,1991,53.0,18.9
46,Uganda,1991,62.0,7.1
47,Zimbabwe,1991,63.0,20.6
48,Central African Rep.,1991,51.3,19.8
49,Chad,1991,51.1,27.4
50,Algeria,1991,32.3,28.1
51,Egypt,1991,5.7,50.7
52,Morocco,1991,30.1,42.7
53,Tunisia,1991,39.6,28.7
54,Botswana,1991,35.7,0.8
55,South Africa,1991,30.5,27.2
56,Niger,1991,55.1,18.6
57,Sierra Leone,1991,54.1,24.4
58,Kazakhstan,1991,33.9,30.7
59,Japan,1991,9.7,66.4
60,Pakistan,1991,28.2,37.1
61,Sri Lanka,1991,22.7,24.9
62,Philippines,1991,25.1,36.2
63,Thailand,1991,52.1,15.8
64,Ukraine,1991,25.2,46.3
65,Finland,1991,45.4,19.7
66,Sweden,1991,37.0,23.2
67,Bosnia and Herz.,1991,50.4,20.2
68,Austria,1991,47.9,29.1
69,Germany,1991,28.3,32.6
70,Netherlands,1991,17.9,40.2
71,Switzerland,1991,30.9,26.5
72,Cuba,1991,16.7,46.3
73,Honduras,1991,53.2,25.2
74,Mexico,1991,26.1,51.9
75,Nicaragua,1991,35.8,31.3
76,Bolivia,1991,42.1,38.1
77,Brazil,1991,25.3,44.8
78,Canada,1991,28.5,38.2
79,Australia,1991,22.3,39.1
80,United States of America,1991,32.0,23.0
81,Colombia,1991,27.7,50.0
82,WORLD,1992,26.0,35.7
83,Burundi,1992,40.6,6.7
84,Madagascar,1992,72.4,7.3
85,Malawi,1992,65.3,5.2
86,Mozambique,1992,52.4,19.9
87,Uganda,1992,61.0,7.6
88,Zimbabwe,1992,62.8,21.0
89,Central African Rep.,1992,50.9,20.0
90,Chad,1992,50.7,27.5
