country,year,n_extreme_vars,max_z_score,extreme_high_vars,extreme_low_vars,extreme_high_count,extreme_low_count
Algeria,1990,1,2.0500318621717795,max_runoff,,1,0
Algeria,1991,1,1.8876939080378323,,mean_temp,0,1
Algeria,1992,2,2.4683158701722667,extreme_rain_days,mean_temp,1,1
Algeria,1993,1,1.1738205269698745,pressure_variability,,1,0
Algeria,1994,1,1.7577049302996173,,min_monthly_soil_moisture,0,1
Algeria,1995,1,2.187872957384689,max_temp,,1,0
Algeria,1996,2,1.364685262876153,,"annual_total_evap, mean_latent_heat",0,2
Algeria,1997,2,1.3921628307759413,max_monthly_wind_speed,mean_annual_rsn,1,1
Algeria,1998,1,0.41824015782298357,,mean_sensible_heat,0,1
Algeria,1999,5,2.9110383464932243,"anomaly_heat_days, anomaly_cold_days, winter_mean_snow_density, mean_annual_rsn",min_temp,4,1
Algeria,2000,6,2.010318925087708,"annual_dry_area, drought_episodes, ozone_mean, mean_annual_wind_speed, mean_annual_net_solar",mean_annual_net_thermal,5,1
Algeria,2001,4,1.6281606440319993,"drought_episodes, mean_annual_net_solar","min_monthly_soil_moisture, mean_annual_net_thermal",2,2
Algeria,2002,1,2.316507411210667,max_temp,,1,0
Algeria,2003,2,2.292106438420284,"heavy_rain_days, runoff_days",,2,0
Algeria,2004,1,1.619056012199632,heavy_rain_days,,1,0
Algeria,2005,7,3.2840899691785883,"anomaly_cold_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, runoff_days, mean_annual_rsn",min_temp,6,1
Algeria,2006,1,1.7033259098595055,heat_episodes,,1,0
Algeria,2007,2,1.6215702744839628,"extreme_rain_days, pm2.5_mean",,2,0
Algeria,2008,1,1.3591915391301062,pm2.5_mean,,1,0
Algeria,2009,3,1.6215702744839628,extreme_rain_days,"annual_total_evap, mean_latent_heat",1,2
Algeria,2010,6,2.132640037287753,"mean_temp, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area",,6,0
Algeria,2012,3,2.269326122216481,"annual_freeze_burden, mean_cold_area, max_runoff",,3,0
Algeria,2015,2,2.9166221313282366,"max_monthly_wind_speed, pressure_variability",,2,0
Algeria,2016,1,1.9862197554375298,no2_mean,,1,0
Algeria,2019,1,1.8367287821052247,max_year_precip,,1,0
Algeria,2020,4,3.6804548095304965,"max_year_precip, evap_deficit, ozone_mean",mean_sensible_heat,3,1
Algeria,2021,3,2.660879010540107,"mean_temp, anomaly_heat_days, evap_deficit",,3,0
Algeria,2022,11,2.430968769167216,"mean_dry_area, pm2.5_mean, mean_annual_wind_speed, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat","mean_soil_moisture, mean_annual_rsn, mean_annual_net_solar",8,3
Algeria,2023,16,5.485189643323215,"heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_dry_area, drought_episodes, mean_dry_area, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat","mean_soil_moisture, mean_annual_net_solar",14,2
Australia,1990,1,1.3519201334942874,no2_mean,,1,0
Australia,1991,1,1.5078159399767603,anomaly_heat_days,,1,0
Australia,1994,6,2.3991388207688487,"anomaly_cold_days, annual_freeze_burden, mean_cold_area, drought_episodes, mean_annual_rsn",min_temp,5,1
Australia,1995,1,2.060127584857911,winter_mean_snow_density,,1,0
Australia,1997,2,2.1036469639627766,"annual_freeze_burden, mean_cold_area",,2,0
Australia,1998,1,1.6856964467960442,heavy_rain_days,,1,0
Australia,1999,2,2.941630681129969,max_monthly_wind_speed,mean_annual_rsn,1,1
Australia,2000,7,2.012346152124324,"anomaly_cold_days, extreme_rain_days, mean_annual_rsn, mean_sensible_heat","mean_temp, annual_total_evap, mean_latent_heat",4,3
Australia,2001,1,1.7394058837944586,max_year_precip,,1,0
Australia,2002,10,1.8352631035610318,"extreme_heat_episodes, annual_dry_area, mean_dry_area, evap_deficit, ozone_mean, mean_annual_net_solar","mean_soil_moisture, min_monthly_soil_moisture, mean_annual_net_thermal, mean_sensible_heat",6,4
Australia,2003,1,1.478960424035466,ozone_mean,,1,0
Australia,2005,1,1.4149612580937516,heat_episodes,,1,0
Australia,2006,3,2.220383810885863,"winter_mean_snow_density, ozone_mean, mean_annual_wind_speed",,3,0
Australia,2007,1,1.9245406860709033,max_runoff,,1,0
Australia,2008,1,1.8548047493242636,pressure_variability,,1,0
Australia,2009,2,2.2443997404546088,"max_runoff, pm2.5_mean",,2,0
Australia,2010,1,1.5828916410721598,heavy_rain_days,,1,0
Australia,2011,6,2.7100421364486427,"extreme_rain_days, runoff_days, mean_sensible_heat","mean_temp, annual_total_evap, mean_latent_heat",3,3
Australia,2013,7,2.219588665558431,"mean_temp, heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area",,7,0
